CODI_LINIA;NOM_LINIA;ID_SENTIT;LONGITUD;FREQ.PASO;VEHÍCULOS UTILIZADOS;
XH1;XH1;1;11612;3;15,4826666666667;
XH1;XH1;2;12732;3;16,976;
XH2;XH2;1;10065;3;13,42;
XH2;XH2;2;11074;3;14,7653333333333;
XH3;XH3;1;11298;3;15,064;
XH3;XH3;2;11518;3;15,3573333333333;
XH4;XH4;1;11488;3;15,3173333333333;
XH4;XH4;2;12051;3;16,068;
XH5;XH5;1;9654;3;12,872;
XH5;XH5;2;8720;3;11,6266666666667;
XV1;XV1;1;7663;3;10,2173333333333;
XV1;XV1;2;8139;3;10,852;
XV2;XV2;1;5150;3;6,86666666666667;
XV2;XV2;2;5161;3;6,88133333333333;
XV3;XV3;1;7354;3;9,80533333333333;
XV3;XV3;2;6185;3;8,24666666666667;
XV4;XV4;1;7643;3;10,1906666666667;
XV4;XV4;2;6944;3;9,25866666666667;
XV5;XV5;1;6418;3;8,55733333333333;
XV5;XV5;2;6089;3;8,11866666666667;
XV6;XV6;1;7968;3;10,624;
XV6;XV6;2;8667;3;11,556;
XV7;XV7;1;7728;3;10,304;
XV7;XV7;2;8078;3;10,7706666666667;
XV8;XV8;1;7403;3;9,87066666666667;
XV8;XV8;2;7125;3;9,5;
242;X1;1;5230;6;3,48666666666667;
242;X1;2;5857;6;3,90466666666667;
6;6;1;8310,24275;6;6,86796921487603;
6;6;2;7957,5564;6;6,57649289256198;
7;7;1;10131,57059;4;12,5597982520661;
7;7;2;10400,14643;4;12,8927435082645;
11;11;1;11202,00992;13;4,27285820216148;
11;11;2;15326,42445;13;5,84606145581691;
13;13;1;7014,93435;25;1,39139193719008;
13;13;2;6799,80944;25;1,34872253355372;
19;19;1;10931,6362;15;3,61376403305785;
19;19;2;10913,10717;15;3,6076387338843;
21;21;1;18076,09916;25;3,58534198214876;
21;21;2;15491,92099;25;3,07277771702479;
22;22;1;6458,03638;5;6,4046641785124;
22;22;2;6914,24285;5;6,85710034710744;
23;23;1;7276,44763;22;1,64007084072126;
23;23;2;7007,75527;22;1,57950907663411;
24;24;1;6783,03432;5;6,72697618512397;
24;24;2;6665,27361;5;6,61018870413223;
27;27;1;10626,2293;5;10,5384092231405;
27;27;2;10068,30632;5;9,9850971768595;
33;33;1;10835,65413;5;10,7461032694215;
33;33;2;10596,74495;5;10,5091685454545;
34;34;1;10933,32226;5;10,8429642247934;
34;34;2;10131,62869;5;10,0478962214876;
39;39;1;5290,85492;11;2,38505856649136;
39;39;2;5706,73708;11;2,57253361983471;
46;46;1;19462,15196;13;7,42357989574062;
46;46;2;16289,27779;13;6,21332909980928;
47;47;1;12589,05901;8;7,80313575;
47;47;2;12637,64084;8;7,83324845454545;
52;52;1;5463,23493;15;1,80602807603306;
52;52;2;5158,22739;15;1,70519913719008;
54;54;1;8543,38456;7;6,05198434002361;
54;54;2;8021,89494;7;5,68257020543093;
55;55;1;6274,00967;9;3,45675463911846;
55;55;2;5066,82661;9;2,79164000550964;
59;59;1;10811,04409;9;5,95649812121212;
59;59;2;11325,73229;9;6,24007288705234;
60;60;1;11044,54239;12;4,56386049173554;
60;60;2;11974,08596;12;4,94796940495868;
62;62;1;12738,10603;11;5,74219655747558;
62;62;2;7782,152;11;3,50810758827949;
63;63;1;12470,79997;9;6,8709641707989;
63;63;2;12575,21367;9;6,92849238016529;
65;65;1;12761,1431;10;6,32783955371901;
65;65;2;12522,46182;10;6,2094852;
67;67;1;13732,14606;12;5,67444052066116;
67;67;2;13336,40704;12;5,510912;
68;68;1;12867,25307;12;5,3170467231405;
68;68;2;12156,70763;12;5,02343290495868;
70;70;1;4436,18924;5;4,39952651900826;
70;70;2;4038,97779;5;4,00559780826446;
76;76;1;12425,17151;12;5,13436839256198;
76;76;2;11182,95795;12;4,62105700413223;
78;78;1;14456,21882;15;4,77891531239669;
78;78;2;14032,18101;15;4,63873752396694;
79;79;1;8400,11872;20;2,08267406280992;
79;79;2;8140,64163;20;2,0183409;
91;91;1;3744,66503;30;0,618952897520661;
91;91;2;2757,34381;30;0,455759307438016;
96;96;1;12843,41432;20;3,1843176;
96;96;2;12348,75375;20;3,06167448347107;
97;97;1;4372,75151;12;1,80692211157025;
97;97;2;5778,72993;12;2,38790492975207;
109;109;1;8504,96935;9;4,6859335261708;
109;109;2;11304,04338;9;6,22812307438017;
136;136;1;8150,12946;23;1,75712456916996;
136;136;2;6790,1684;23;1,46392419690981;
141;141;1;2786,67178;25;0,552728286942149;
141;141;2;2709,69443;25;0,537460052231405;
150;150;1;5659,14498;9;3,11798621487603;
150;150;2;4813,8321;9;2,65224909090909;
157;157;1;8039,55006;15;2,65770249917355;
157;157;2;6999,575;15;2,31390909090909;
165;165;1;10636,52147;14;3,76736297638725;
165;165;2;9942,65498;14;3,52160152774498;
175;175;1;5276,38388;20;1,30819435041322;
175;175;2;3109,53782;20;0,770959790082645;
182;182;1;5149,19594;18;1,41851127823691;
182;182;2;4980,68438;18;1,37208936088154;
183;183;1;1598,5399;18;0,4403691184573;
183;183;2;9793,09005;18;2,69782095041322;
185;185;1;6114,69706;20;1,51604059338843;
185;185;2;5356,30332;20;1,32800908760331;
191;191;1;2858,68789;18;0,787517325068871;
191;191;2;5013,85616;18;1,3812275922865;
192;192;1;4413,24235;30;0,729461545454546;
192;192;2;3941,87924;30;0,651550287603306;
196;196;1;2312,59907;10;1,14674334049587;
196;196;2;1917,75531;10;0,950953046280992;
;;;;SUMA;691,58105704191;